#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742832E-04   0.153122E+08   0.153122E+08   0.200199E+08   0.200191E+08   0.153119E+08   0.153122E+08   0.153122E+08   0.153198E+08  -0.544987E+00   0.116346E+08   0.116346E+08   0.629725E-01
   0.830129E-04   0.153120E+08   0.153120E+08   0.199221E+08   0.199211E+08   0.153115E+08   0.153120E+08   0.153120E+08   0.153196E+08  -0.544976E+00   0.116344E+08   0.116344E+08   0.703548E-01
   0.927685E-04   0.153117E+08   0.153117E+08   0.198005E+08   0.197993E+08   0.153110E+08   0.153117E+08   0.153117E+08   0.153192E+08  -0.544964E+00   0.116342E+08   0.116342E+08   0.785976E-01
   0.103671E-03   0.153113E+08   0.153113E+08   0.196497E+08   0.196482E+08   0.153103E+08   0.153113E+08   0.153113E+08   0.153188E+08  -0.544948E+00   0.116339E+08   0.116339E+08   0.877991E-01
   0.115854E-03   0.153109E+08   0.153109E+08   0.194629E+08   0.194610E+08   0.153095E+08   0.153108E+08   0.153109E+08   0.153183E+08  -0.544928E+00   0.116336E+08   0.116336E+08   0.980682E-01
   0.129469E-03   0.153103E+08   0.153103E+08   0.192319E+08   0.192296E+08   0.153085E+08   0.153103E+08   0.153103E+08   0.153176E+08  -0.544903E+00   0.116331E+08   0.116331E+08   0.109525E+00
   0.144684E-03   0.153096E+08   0.153096E+08   0.189470E+08   0.189442E+08   0.153072E+08   0.153096E+08   0.153096E+08   0.153168E+08  -0.544872E+00   0.116326E+08   0.116326E+08   0.122302E+00
   0.161687E-03   0.153087E+08   0.153087E+08   0.185967E+08   0.185934E+08   0.153057E+08   0.153087E+08   0.153087E+08   0.153158E+08  -0.544834E+00   0.116319E+08   0.116319E+08   0.136543E+00
   0.180688E-03   0.153076E+08   0.153076E+08   0.181678E+08   0.181638E+08   0.153037E+08   0.153076E+08   0.153076E+08   0.153145E+08  -0.544786E+00   0.116311E+08   0.116311E+08   0.152408E+00
   0.201923E-03   0.153063E+08   0.153063E+08   0.176452E+08   0.176404E+08   0.153013E+08   0.153063E+08   0.153063E+08   0.153130E+08  -0.544727E+00   0.116301E+08   0.116301E+08   0.170067E+00
   0.225652E-03   0.153046E+08   0.153046E+08   0.170124E+08   0.170066E+08   0.152982E+08   0.153046E+08   0.153046E+08   0.153111E+08  -0.544654E+00   0.116288E+08   0.116288E+08   0.189706E+00
   0.252171E-03   0.153025E+08   0.153025E+08   0.162520E+08   0.162452E+08   0.152944E+08   0.153025E+08   0.153025E+08   0.153087E+08  -0.544563E+00   0.116272E+08   0.116272E+08   0.211522E+00
   0.281806E-03   0.152999E+08   0.152999E+08   0.153474E+08   0.153397E+08   0.152897E+08   0.152999E+08   0.152999E+08   0.153057E+08  -0.544451E+00   0.116252E+08   0.116252E+08   0.235725E+00
   0.314923E-03   0.152967E+08   0.152967E+08   0.142847E+08   0.142760E+08   0.152838E+08   0.152966E+08   0.152967E+08   0.153021E+08  -0.544313E+00   0.116228E+08   0.116228E+08   0.262532E+00
